congress,number,title,format,url,filename,status
101,142,Electing certain Members of the House to certain standing committees.,html,https://www.congress.gov/101/bills/HRES142/BILLS-hres142eh.htm,101_hres142.html,downloaded
101,148,Electing certain minority members to standing committees of the House.,html,https://www.congress.gov/101/bills/HRES148/BILLS-hres148ath.htm,101_hres148.html,downloaded
102,193,Electing minority membership on certain standing committees of the House.,html,https://www.congress.gov/102/bills/HRES193/BILLS-hres193ath.htm,102_hres193.html,downloaded
102,311,To amend the Rules of the House of Representatives to provide for the election of the chairmen and ranking minority members of the standing committees and for other purposes.,html,https://www.congress.gov/102/bills/HRES311/BILLS-hres311ih.htm,102_hres311.html,downloaded
102,344,Electing majority membership to standing committees of the House.,html,https://www.congress.gov/102/bills/HRES344/BILLS-hres344ath.htm,102_hres344.html,downloaded
104,13,Electing Representative Bernard Sanders of Vermont to standing committees.,html,https://www.congress.gov/104/bills/hres13/BILLS-104hres13eh.htm,104_hres13.html,downloaded
106,8,Electing a Member to serve on standing committees.,html,https://www.congress.gov/106/bills/hres8/BILLS-106hres8eh.htm,106_hres8.html,downloaded
106,6,Electing Members to serve on standing committees.,html,https://www.congress.gov/106/bills/hres6/BILLS-106hres6ath.htm,106_hres6.html,downloaded
106,7,"Electing Members, Delegates, and the Resident Commissioner to serve on standing committees.",html,https://www.congress.gov/106/bills/hres7/BILLS-106hres7ath.htm,106_hres7.html,downloaded
107,19,Electing Members to serve on standing committees of the House of Representatives.,html,https://www.congress.gov/107/bills/hres19/BILLS-107hres19ath.htm,107_hres19.html,downloaded
108,22,Electing certain ranking minority members to standing committees.,html,https://www.congress.gov/108/bills/hres22/BILLS-108hres22eh.htm,108_hres22.html,downloaded
108,24,Electing chairmen of certain standing committees of the House.,html,https://www.congress.gov/108/bills/hres24/BILLS-108hres24eh.htm,108_hres24.html,downloaded
108,35,"Electing Members, Delegates, and Resident Commissioners to standing committees of the House of Representatives.",html,https://www.congress.gov/108/bills/hres35/BILLS-108hres35eh.htm,108_hres35.html,downloaded
108,36,Electing a named Member to standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres36/BILLS-108hres36ath.htm,108_hres36.html,downloaded
108,52,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres52/BILLS-108hres52ath.htm,108_hres52.html,downloaded
108,79,"Electing Members, Delegates, and Resident Commissioners to certain standing committees of the House of Representatives.",html,https://www.congress.gov/108/bills/hres79/BILLS-108hres79ath.htm,108_hres79.html,downloaded
108,104,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres104/BILLS-108hres104eh.htm,108_hres104.html,downloaded
108,123,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres123/BILLS-108hres123eh.htm,108_hres123.html,downloaded
108,124,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres124/BILLS-108hres124eh.htm,108_hres124.html,downloaded
108,130,Electing Members to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres130/BILLS-108hres130ath.htm,108_hres130.html,downloaded
108,209,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres209/BILLS-108hres209ath.htm,108_hres209.html,downloaded
108,495,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres495/BILLS-108hres495eh.htm,108_hres495.html,downloaded
108,505,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres505/BILLS-108hres505ath.htm,108_hres505.html,downloaded
108,504,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres504/BILLS-108hres504ath.htm,108_hres504.html,downloaded
108,539,Electing a chairman of a standing committee of the House.,html,https://www.congress.gov/108/bills/hres539/BILLS-108hres539eh.htm,108_hres539.html,downloaded
108,553,Electing Members to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres553/BILLS-108hres553eh.htm,108_hres553.html,downloaded
108,590,Electing a Member to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres590/BILLS-108hres590eh.htm,108_hres590.html,exists
108,661,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres661/BILLS-108hres661eh.htm,108_hres661.html,downloaded
108,670,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres670/BILLS-108hres670eh.htm,108_hres670.html,exists
108,741,Electing a Member to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres741/BILLS-108hres741eh.htm,108_hres741.html,exists
108,756,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres756/BILLS-108hres756eh.htm,108_hres756.html,downloaded
108,795,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres795/BILLS-108hres795eh.htm,108_hres795.html,exists
108,806,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres806/BILLS-108hres806eh.htm,108_hres806.html,exists
108,835,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres835/BILLS-108hres835eh.htm,108_hres835.html,downloaded
108,678,Electing a Member to certain standing committees of the House of Representatives.,html,https://www.congress.gov/108/bills/hres678/BILLS-108hres678eh.htm,108_hres678.html,exists
108,762,Electing a Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/108/bills/hres762/BILLS-108hres762eh.htm,108_hres762.html,downloaded
109,6,Electing certain members to a standing committee.,html,https://www.congress.gov/109/bills/hres6/BILLS-109hres6eh.htm,109_hres6.html,downloaded
109,33,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres33/BILLS-109hres33eh.htm,109_hres33.html,exists
109,32,"Electing Members, Delegates, and Resident Commissioners to standing committees of the House of Representatives.",html,https://www.congress.gov/109/bills/hres32/BILLS-109hres32eh.htm,109_hres32.html,downloaded
109,49,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres49/BILLS-109hres49eh.htm,109_hres49.html,downloaded
109,50,Electing a certain Member to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres50/BILLS-109hres50eh.htm,109_hres50.html,downloaded
109,48,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres48/BILLS-109hres48eh.htm,109_hres48.html,downloaded
109,66,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres66/BILLS-109hres66eh.htm,109_hres66.html,downloaded
109,62,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres62/BILLS-109hres62eh.htm,109_hres62.html,downloaded
109,65,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres65/BILLS-109hres65eh.htm,109_hres65.html,downloaded
109,64,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres64/BILLS-109hres64eh.htm,109_hres64.html,downloaded
109,68,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres68/BILLS-109hres68eh.htm,109_hres68.html,downloaded
109,73,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres73/BILLS-109hres73eh.htm,109_hres73.html,downloaded
109,74,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres74/BILLS-109hres74eh.htm,109_hres74.html,downloaded
109,112,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres112/BILLS-109hres112eh.htm,109_hres112.html,downloaded
109,111,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres111/BILLS-109hres111eh.htm,109_hres111.html,exists
