congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
114,2015-01-06,False,2017-01-03,,S000510,Adam Smith,WA,9th,D,Armed Services,AS00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,G000553,Al Green,TX,9th,D,Financial Services,BA00,11,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,H000324,Alcee L. Hastings,FL,20th,D,Rules,RU00,3,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,E000215,Anna G. Eshoo,CA,16th,D,Energy and Commerce,IF00,3,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001105,Barbara Comstock,VA,10th,R,House Administration,HA00,5,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,L000551,Barbara Lee,CA,12th,D,Appropriations,AP00,10,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,L000570,Ben Ray Luján,NM,3rd,D,Energy and Commerce,IF00,16,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,T000193,Bennie G. Thompson,MS,2nd,D,Homeland Security,HM00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,M001143,Betty McCollum,MN,4th,D,Appropriations,AP00,12,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,F000454,Bill Foster,IL,11th,D,Financial Services,BA00,19,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2016-02-04,,J000292,Bill Johnson,OH,6th,R,"Science, Space, and Technology",SY00,13,,H.Res.7,2015-01-06,"Cong. Rec. Vol. 162, No. 21, p. H583",2016-02-04
114,2015-01-06,False,2017-01-03,,P000096,"Bill Pascrell, Jr.",NJ,9th,D,Ways and Means,WM00,12,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,S001154,Bill Shuster,PA,9th,R,Transportation and Infrastructure,PW00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,G000289,Bob Goodlatte,VA,6th,R,Judiciary,JU00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,R000515,Bobby L. Rush,IL,1st,D,Energy and Commerce,IF00,2,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,S000344,Brad Sherman,CA,32nd,D,Financial Services,BA00,4,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,R000576,C. A. Dutch Ruppersberger,MD,2nd,D,Appropriations,AP00,15,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,M001150,Candice S. Miller,MI,10th,R,House Administration,HA00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,M000087,Carolyn B. Maloney,NY,12th,D,Financial Services,BA00,2,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2016-06-23,resigned,F000043,Chaka Fattah,PA,2nd,D,Appropriations,AP00,9,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,R000053,Charles B. Rangel,NY,13th,D,Ways and Means,WM00,2,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000604,Charles W. Dent,PA,15th,R,Ethics,SO00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,P000597,Chellie Pingree,ME,1st,D,Appropriations,AP00,18,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,V000128,Chris Van Hollen,MD,8th,D,Budget,BU00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,P000258,Collin C. Peterson,MN,7th,D,Agriculture,AG00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B000911,Corrine Brown,FL,5th,D,Veterans' Affairs,VR00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,K000380,Daniel T. Kildee,MI,8th,D,Financial Services,BA00,20,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000096,Danny K. Davis,IL,7th,D,Ways and Means,WM00,14,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,P000523,David E. Price,NC,4th,D,Appropriations,AP00,6,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,L000565,David Loebsack,IA,2nd,D,Energy and Commerce,IF00,20,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,S001157,David Scott,GA,13th,D,Financial Services,BA00,10,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,W000797,Debbie Wasserman Schultz,FL,25th,D,Appropriations,AP00,16,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,H001064,Denny Heck,WA,10th,D,Financial Services,BA00,25,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000197,Diana DeGette,CO,1st,D,Energy and Commerce,IF00,6,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,M001163,Doris O. Matsui,CA,7th,D,Energy and Commerce,IF00,11,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001093,Doug Collins,GA,9th,R,Rules,RU00,7,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B000574,Earl Blumenauer,OR,3rd,D,Ways and Means,WM00,10,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,P000593,Ed Perlmutter,CO,7th,D,Financial Services,BA00,15,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2016-02-04,,J000126,Eddie Bernice Johnson,TX,30th,D,"Science, Space, and Technology",SY00,1,,H.Res.7,2015-01-06,"Cong. Rec. Vol. 162, No. 21, p. H583",2016-02-04
114,2015-01-06,False,2017-01-03,,R000487,Edward R. Royce,CA,39th,R,Foreign Affairs,FA00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C000984,Elijah E. Cummings,MD,7th,D,Oversight and Government Reform,GO00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,E000179,Eliot L. Engel,NY,16th,D,Energy and Commerce,IF00,4,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,E000179,Eliot L. Engel,NY,16th,D,Foreign Affairs,FA00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001061,Emanuel Cleaver,MO,5th,D,Financial Services,BA00,12,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,P000034,"Frank Pallone, Jr.",NJ,6th,D,Energy and Commerce,IF00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,U000031,Fred Upton,MI,6th,R,Energy and Commerce,IF00,1,Chairman,H.Res.6,2015-01-06,,
