date,packageId,granuleId,title,filename,status
2026-04-21,CREC-2026-04-21,CREC-2026-04-21-pt1-PgH3005-6,RESIGNATION AS MEMBER OF COMMITTEE ON FOREIGN AFFAIRS,CREC-2026-04-21-pt1-PgH3005-6.html,downloaded
2026-04-15,CREC-2026-04-15,CREC-2026-04-15-pt1-PgH2891-5,RESIGNATION AS MEMBER OF COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE,CREC-2026-04-15-pt1-PgH2891-5.html,downloaded
2026-03-25,CREC-2026-03-25,CREC-2026-03-25-pt1-PgH2687-5,RESIGNATION AS MEMBER OF COMMITTEE ON SMALL BUSINESS,CREC-2026-03-25-pt1-PgH2687-5.html,downloaded
2026-03-25,CREC-2026-03-25,CREC-2026-03-25-pt1-PgH2687-6,"RESIGNATION AS MEMBER OF COMMITTEE ON SCIENCE, SPACE, AND TECHNOLOGY",CREC-2026-03-25-pt1-PgH2687-6.html,downloaded
2026-03-25,CREC-2026-03-25,CREC-2026-03-25-pt1-PgH2687-7,RESIGNATION AS MEMBER OF COMMITTEE ON SMALL BUSINESS,CREC-2026-03-25-pt1-PgH2687-7.html,downloaded
2026-03-25,CREC-2026-03-25,CREC-2026-03-25-pt1-PgH2687-8,RESIGNATION AS MEMBER OF COMMITTEE ON FOREIGN AFFAIRS,CREC-2026-03-25-pt1-PgH2687-8.html,downloaded
2026-02-09,CREC-2026-02-09,CREC-2026-02-09-pt1-PgH2082,"RESIGNATION AS MEMBER OF COMMITTEE ON SCIENCE, SPACE, AND TECHNOLOGY",CREC-2026-02-09-pt1-PgH2082.html,downloaded
2026-02-02,CREC-2026-02-02,CREC-2026-02-02-pt1-PgH1935,RESIGNATION AS MEMBER OF COMMITTEE ON SMALL BUSINESS,CREC-2026-02-02-pt1-PgH1935.html,downloaded
2024-09-18,CREC-2024-09-18,CREC-2024-09-18-pt1-PgH5354,RESIGNATION AS MEMBER OF COMMITTEE ON FINANCIAL SERVICES,CREC-2024-09-18-pt1-PgH5354.html,downloaded
2026-01-06,CREC-2026-01-06,CREC-2026-01-06-pt1-PgH4-9,RESIGNATION AS MEMBER OF COMMITTEE ON ETHICS,CREC-2026-01-06-pt1-PgH4-9.html,downloaded
2019-02-13,CREC-2019-02-13,CREC-2019-02-13-pt1-PgH1558,RESIGNATION AS MEMBER OF COMMITTEE ON RULES,CREC-2019-02-13-pt1-PgH1558.html,downloaded
2023-12-06,CREC-2023-12-06,CREC-2023-12-06-pt1-PgH6197,RESIGNATION AS MEMBER OF COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE,CREC-2023-12-06-pt1-PgH6197.html,downloaded
2023-12-06,CREC-2023-12-06,CREC-2023-12-06-pt1-PgH6197-2,RESIGNATION AS MEMBER OF COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,CREC-2023-12-06-pt1-PgH6197-2.html,downloaded
2023-12-06,CREC-2023-12-06,CREC-2023-12-06-pt1-PgH6197-3,RESIGNATIONS AS MEMBER OF COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE AND COMMITTEE ON THE BUDGET,CREC-2023-12-06-pt1-PgH6197-3.html,downloaded
2023-12-06,CREC-2023-12-06,CREC-2023-12-06-pt1-PgH6197-4,RESIGNATION AS MEMBER OF COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,CREC-2023-12-06-pt1-PgH6197-4.html,downloaded
2025-03-31,CREC-2025-03-31,CREC-2025-03-31-pt1-PgH1356,RESIGNATION AS MEMBER OF COMMITTEE ON EDUCATION AND WORKFORCE,CREC-2025-03-31-pt1-PgH1356.html,downloaded
2025-11-17,CREC-2025-11-17,CREC-2025-11-17-pt1-PgH4675-7,RESIGNATION AS MEMBER OF COMMITTEE ON EDUCATION AND WORKFORCE,CREC-2025-11-17-pt1-PgH4675-7.html,downloaded
2025-11-18,CREC-2025-11-18,CREC-2025-11-18-pt1-PgH4718-3,RESIGNATION AS MEMBER OF COMMITTEE ON NATURAL RESOURCES,CREC-2025-11-18-pt1-PgH4718-3.html,downloaded
2025-11-12,CREC-2025-11-12,CREC-2025-11-12-pt1-PgH4664,RESIGNATION AS MEMBER OF COMMITTEE ON ARMED SERVICES AND SELECT COMMITTEE ON COMPETITION BETWEEN THE UNITED STATES AND THE CHINESE COMMUNIST PARTY,CREC-2025-11-12-pt1-PgH4664.html,downloaded
1995-02-16,CREC-1995-02-16,CREC-1995-02-16-pt1-PgH1891-2,RESIGNATION AS MEMBER AND ELECTION OF MEMBER OF COMMITTEE ON VETERANS' AFFAIRS,CREC-1995-02-16-pt1-PgH1891-2.html,downloaded
1995-06-13,CREC-1995-06-13,CREC-1995-06-13-pt1-PgH5776-5,RESIGNATION AS MEMBER OF COMMITTEE ON SMALL BUSINESS,CREC-1995-06-13-pt1-PgH5776-5.html,downloaded
1996-01-25,CREC-1996-01-25,CREC-1996-01-25-pt1-PgH901-4,RESIGNATION AS MEMBER OF COMMITTEE ON INTERNATIONAL RELATIONS,CREC-1996-01-25-pt1-PgH901-4.html,downloaded
1996-02-01,CREC-1996-02-01,CREC-1996-02-01-pt1-PgH1200-4,RESIGNATION AS MEMBER AND ELECTION AS MEMBER OF COMMITTEE ON THE BUDGET,CREC-1996-02-01-pt1-PgH1200-4.html,downloaded
1996-02-28,CREC-1996-02-28,CREC-1996-02-28-pt1-PgH1414,RESIGNATION AS MEMBER OF COMMITTEE ON GOVERNMENT REFORM AND OVERSIGHT,CREC-1996-02-28-pt1-PgH1414.html,downloaded
1996-02-28,CREC-1996-02-28,CREC-1996-02-28-pt1-PgH1414-2,RESIGNATION AS MEMBER OF COMMITTEE ON AGRICULTURE,CREC-1996-02-28-pt1-PgH1414-2.html,downloaded
1996-03-05,CREC-1996-03-05,CREC-1996-03-05-pt1-PgH1699-4,RESIGNATION AS MEMBER OF COMMITTEE ON SMALL BUSINESS,CREC-1996-03-05-pt1-PgH1699-4.html,downloaded
1996-03-07,CREC-1996-03-07,CREC-1996-03-07-pt1-PgH1981,RESIGNATION AS MEMBER AND APPOINTMENT AS MEMBER OF JOINT ECONOMIC COMMITTEE,CREC-1996-03-07-pt1-PgH1981.html,downloaded
1996-03-14,CREC-1996-03-14,CREC-1996-03-14-pt1-PgH2305-2,RESIGNATION AS MEMBER OF COMMITTEE ON THE JUDICIARY,CREC-1996-03-14-pt1-PgH2305-2.html,downloaded
