congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
114,2015-01-06,False,2017-01-03,,B000287,Xavier Becerra,CA,34,D,Ways and Means,WM00,6,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B000490,"Sanford D. Bishop, Jr.",GA,2,D,Appropriations,AP00,10,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B000574,Earl Blumenauer,OR,3,D,Ways and Means,WM00,10,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B000911,Corrine Brown,FL,5,D,Veterans' Affairs,VR00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B001227,Robert A. Brady,PA,1,D,House Administration,HA00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B001248,Michael C. Burgess,TX,26,R,Rules,RU00,5,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B001250,Rob Bishop,UT,1,R,Natural Resources,II00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B001251,G. K. Butterfield,NC,1,D,Energy and Commerce,IF00,10,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B001281,Joyce Beatty,OH,3,D,Financial Services,BA00,24,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,B001284,Susan W. Brooks,IN,5,R,Ethics,SO00,4,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C000266,Steve Chabot,OH,1,R,Small Business,SM00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C000714,"John Conyers, Jr.",MI,13,D,Judiciary,JU00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C000984,Elijah E. Cummings,MD,7,D,Oversight and Government Reform,GO00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001036,Lois Capps,CA,24,D,Energy and Commerce,IF00,7,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001037,Michael E. Capuano,MA,7,D,Financial Services,BA00,6,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001038,Joseph Crowley,NY,14,D,Ways and Means,WM00,13,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001049,Wm. Lacy Clay,MO,1,D,Financial Services,BA00,8,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001053,Tom Cole,OK,4,R,Rules,RU00,3,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001061,Emanuel Cleaver,MO,5,D,Financial Services,BA00,12,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001062,K. Michael Conaway,TX,11,R,Agriculture,AG00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001063,Henry Cuellar,TX,28,D,Appropriations,AP00,19,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001066,Kathy Castor,FL,14,D,Energy and Commerce,IF00,12,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001067,Yvette D. Clarke,NY,9,D,Energy and Commerce,IF00,19,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001076,Jason Chaffetz,UT,3,R,Oversight and Government Reform,GO00,1,Chairman,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001083,"John C. Carney, Jr.",DE,At Large,D,Financial Services,BA00,17,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001093,Doug Collins,GA,9,R,Rules,RU00,7,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001097,Tony Cárdenas,CA,29,D,Energy and Commerce,IF00,23,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,C001105,Barbara Comstock,VA,10,R,House Administration,HA00,6,,H.Res.6,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000096,Danny K. Davis,IL,7,D,Ways and Means,WM00,14,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000191,Peter A. DeFazio,OR,4,D,Transportation and Infrastructure,PW00,1,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000197,Diana DeGette,CO,1,D,Energy and Commerce,IF00,6,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000216,Rosa L. DeLauro,CT,3,D,Appropriations,AP00,5,,H.Res.7,2015-01-06,,
114,2015-01-06,False,2017-01-03,,D000399,Lloyd Doggett,TX,37,D,Ways and Means,WM00,7,,H.Res.7,2015-01-06,,
