congress,date,resolution,committee,member,rank,role,rank_after
104,,H.Res.13,Banking and Financial Services,Bernard Sanders of Vermont,1,,
104,,H.Res.13,Government Reform and Oversight,Bernard Sanders of Vermont,1,,
108,,H.Res.835,Government Reform,Mr. Putnam,1,,Mr. Cannon
101,1989-04-27,H.Res.142,AGRICULTURE,"Jill Long, Indiana, to rank before Mr. Dyson of Maryland",1,,
101,1989-04-27,H.Res.142,PUBLIC WORKS AND TRANSPORTATION,"Glen Browder, Alabama",1,,
101,1989-04-27,H.Res.142,"SCIENCE, SPACE, AND TECHNOLOGY","Glen Browder, Alabama",1,,
101,1989-04-27,H.Res.142,VETERANS' AFFAIRS,"Jill Long, Indiana",1,,
101,1989-05-04,H.Res.148,AGRICULTURE,Bill Grant of Florida,1,,
101,1989-05-04,H.Res.148,GOVERNMENT OPERATIONS,Craig Thomas of Wyoming,1,,
101,1989-05-04,H.Res.148,INTERIOR AND INSULAR AFFAIRS,Craig Thomas of Wyoming,1,,
101,1989-05-04,H.Res.148,INTERIOR AND INSULAR AFFAIRS,"John J. Duncan, Jr. of Tennessee",2,,
101,1989-05-04,H.Res.148,SMALL BUSINESS,Ron Machtley of Rhode Island,1,,
101,1989-05-04,H.Res.148,VETERANS' AFFAIRS,Bill Paxon of New York,1,,
102,1991-07-11,H.Res.193,AGRICULTURE,Tom Ewing of Illinois,1,,
102,1991-07-11,H.Res.193,INTERIOR AND INSULAR AFFAIRS,Richard H. Baker of Louisiana,1,,
102,1991-07-11,H.Res.193,PUBLIC WORKS AND TRANSPORTATION,Tom Ewing of Illinois,1,,
102,1991-07-11,H.Res.193,SMALL BUSINESS,Bill Zeliff of New Hampshire,1,,
102,1992-02-05,H.Res.344,VETERANS' AFFAIRS,"Bob Clement, Tennessee",1,,
102,1992-02-05,H.Res.344,MERCHANT MARINE AND FISHERIES,"Lucien Blackwell, Pennsylvania",1,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Combest,1,Chairman,
106,1999-01-06,H.Res.6,Agriculture,Mr. Barrett of Nebraska,2,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Boehner,3,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Ewing,4,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Goodlatte,5,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Pombo,6,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Canady,7,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Smith of Michigan,8,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Everett,9,,
106,1999-01-06,H.Res.6,Agriculture,Mr. Lucas of Oklahoma,10,,
