date,congress,member_name,committees,cr_citation,uri,granule_id,package_id
1994-05-19,103,Lynn C. Woolsey,"Science, Space, And Technology","Cong. Rec. Vol. 140, No. 63, p. H",https://www.govinfo.gov/content/pkg/CREC-1994-05-19/html/CREC-1994-05-19-pt1-PgH44.htm,CREC-1994-05-19-pt1-PgH44,CREC-1994-05-19
1995-02-16,104,Steve Stockman,Veterans' Affairs,"Cong. Rec. Vol. 141, No. 31, p. H1891-H1892",https://www.govinfo.gov/content/pkg/CREC-1995-02-16/html/CREC-1995-02-16-pt1-PgH1891-2.htm,CREC-1995-02-16-pt1-PgH1891-2,CREC-1995-02-16
1995-06-13,104,Karen McCarthy,Small Business,"Cong. Rec. Vol. 141, No. 96, p. H5776",https://www.govinfo.gov/content/pkg/CREC-1995-06-13/html/CREC-1995-06-13-pt1-PgH5776-5.htm,CREC-1995-06-13-pt1-PgH5776-5,CREC-1995-06-13
1996-01-25,104,Michael R. McNulty,International Relations,"Cong. Rec. Vol. 142, No. 10, p. H901",https://www.govinfo.gov/content/pkg/CREC-1996-01-25/html/CREC-1996-01-25-pt1-PgH901-4.htm,CREC-1996-01-25-pt1-PgH901-4,CREC-1996-01-25
1996-02-01,104,Pete Hoekstra,Budget,"Cong. Rec. Vol. 142, No. 14, p. H1200",https://www.govinfo.gov/content/pkg/CREC-1996-02-01/html/CREC-1996-02-01-pt1-PgH1200-4.htm,CREC-1996-02-01-pt1-PgH1200-4,CREC-1996-02-01
1996-02-28,104,Cynthia McKinney,Agriculture,"Cong. Rec. Vol. 142, No. 25, p. H1414-H1415",https://www.govinfo.gov/content/pkg/CREC-1996-02-28/html/CREC-1996-02-28-pt1-PgH1414-2.htm,CREC-1996-02-28-pt1-PgH1414-2,CREC-1996-02-28
1996-02-28,104,Gene Taylor,Government Reform And Oversight,"Cong. Rec. Vol. 142, No. 25, p. H1414",https://www.govinfo.gov/content/pkg/CREC-1996-02-28/html/CREC-1996-02-28-pt1-PgH1414.htm,CREC-1996-02-28-pt1-PgH1414,CREC-1996-02-28
1996-03-05,104,Chaka Fattah,Small Business,"Cong. Rec. Vol. 142, No. 28, p. H1699",https://www.govinfo.gov/content/pkg/CREC-1996-03-05/html/CREC-1996-03-05-pt1-PgH1699-4.htm,CREC-1996-03-05-pt1-PgH1699-4,CREC-1996-03-05
1996-03-07,104,David R. Obey,Joint Economic Committee,"Cong. Rec. Vol. 142, No. 30, p. H1981-H1982",https://www.govinfo.gov/content/pkg/CREC-1996-03-07/html/CREC-1996-03-07-pt1-PgH1981.htm,CREC-1996-03-07-pt1-PgH1981,CREC-1996-03-07
1996-03-14,104,Jose E. Serrano,Judiciary,"Cong. Rec. Vol. 142, No. 35, p. H2305",https://www.govinfo.gov/content/pkg/CREC-1996-03-14/html/CREC-1996-03-14-pt1-PgH2305-2.htm,CREC-1996-03-14-pt1-PgH2305-2,CREC-1996-03-14
