congress,number,title,format,url,filename,status
101,46,"A resolution to make majority party appointments to Senate Committees under paragraphs 3(a), (b), and (c) of Rule XXV for the One Hundred First Congress.",html,https://www.congress.gov/101/bills/SRES46/BILLS-sres46ats.htm,101_sres46.html,exists
101,44,A resolution to make majority party appointments to Senate Committees under paragraph 2 of Rule XXV for the One Hundred and First Congress.,html,https://www.congress.gov/101/bills/SRES44/BILLS-sres44ats.htm,101_sres44.html,exists
101,47,A resolution making minority party appointments to Senate committees for the 101st Congress.,html,https://www.congress.gov/101/bills/SRES47/BILLS-sres47ats.htm,101_sres47.html,exists
101,45,A resolution making minority party appointments to Senate committees for the 101st Congress.,html,https://www.congress.gov/101/bills/SRES45/BILLS-sres45ats.htm,101_sres45.html,exists
102,48,A resolution making minority party appointments to Senate Committees for the 102nd Congress.,html,https://www.congress.gov/102/bills/SRES48/BILLS-sres48ats.htm,102_sres48.html,exists
102,46,A resolution to make majority party appointments to Senate Committees under paragraph 2 of Rule XXV for the One Hundred and Second Congress.,html,https://www.congress.gov/102/bills/SRES46/BILLS-sres46ats.htm,102_sres46.html,exists
102,68,A resolution to make minority party appointments to the Select Committee on Ethics for the 102nd Congress.,html,https://www.congress.gov/102/bills/SRES68/BILLS-sres68is.htm,102_sres68.html,exists
102,88,A resolution making minority party appointments to Senate committees for the 102nd Congress.,html,https://www.congress.gov/102/bills/SRES88/BILLS-sres88is.htm,102_sres88.html,exists
102,86,"A resolution to make majority party appointments to Senate Committees under paragraph 3 (a), (b) and (c) of Rule XXV for the One Hundred and Second Congress.",html,https://www.congress.gov/102/bills/SRES86/BILLS-sres86is.htm,102_sres86.html,exists
102,134,A resolution to make a majority party appointment to the Select Committee on Ethics.,html,https://www.congress.gov/102/bills/SRES134/BILLS-sres134is.htm,102_sres134.html,exists
102,137,"A resolution to make a minority party appointment to the Committee on Banking, Housing, and Urban Affairs.",html,https://www.congress.gov/102/bills/SRES137/BILLS-sres137is.htm,102_sres137.html,exists
102,139,A resolution to make a minority party appointment to the Special Committee on Aging.,html,https://www.congress.gov/102/bills/SRES139/BILLS-sres139is.htm,102_sres139.html,exists
102,145,A resolution to make a minority party change in Committees.,html,https://www.congress.gov/102/bills/SRES145/BILLS-sres145is.htm,102_sres145.html,exists
102,152,A resolution to make a minority party change in Committees.,html,https://www.congress.gov/102/bills/SRES152/BILLS-sres152is.htm,102_sres152.html,exists
102,226,A resolution on certain Minority party committee appointments.,html,https://www.congress.gov/102/bills/SRES226/BILLS-sres226is.htm,102_sres226.html,exists
103,5,A resolution to make majority party appointments to Senate Committees under paragraph 2 of Rule XXV for the One Hundred and Third Congress,html,https://www.congress.gov/103/bills/sres5/BILLS-103sres5ats.htm,103_sres5.html,exists
103,7,"A resolution to constitute the minority party's membership on certain of the standing committees for the 103d Congress, or until their successors are chosen.",html,https://www.congress.gov/103/bills/sres7/BILLS-103sres7ats.htm,103_sres7.html,exists
103,19,A resolution to make majority party appointments to Senate Committees under paragraph 3 (a) and (b) of Rule XXV for the One Hundred and Third Congress.,html,https://www.congress.gov/103/bills/sres19/BILLS-103sres19ats.htm,103_sres19.html,exists
103,22,"A resolution to constitute the minority party's membership on certain committees for the 103rd Congress, or until their successors are chosen.",html,https://www.congress.gov/103/bills/sres22/BILLS-103sres22ats.htm,103_sres22.html,exists
103,36,A resolution to make majority party appointments to a Senate Committee under Paragraph 3(c) of Rule XXV for the One Hundred and Third Congress.,html,https://www.congress.gov/103/bills/sres36/BILLS-103sres36ats.htm,103_sres36.html,exists
103,38,A resolution making minority party appointments to the Select Committee on Ethics.,html,https://www.congress.gov/103/bills/sres38/BILLS-103sres38ats.htm,103_sres38.html,exists
103,109,"A resolution to constitute the minority party's membership on certain committees for the 103rd Congress, or until their successors are chosen.",html,https://www.congress.gov/103/bills/sres109/BILLS-103sres109ats.htm,103_sres109.html,exists
103,131,"A resolution to constitute the minority party's membership on certain of the standing committees for the 103d Congress, or until their successors are chosen.",html,https://www.congress.gov/103/bills/sres131/BILLS-103sres131ats.htm,103_sres131.html,exists
103,147,"A resolution to constitute the minority party's membership on certain of the standing committees for the 103d Congress, or until their successors are chosen.",html,https://www.congress.gov/103/bills/sres147/BILLS-103sres147ats.htm,103_sres147.html,exists
104,15,A resolution making majority party appointments to certain Senate committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres15/BILLS-104sres15ats.htm,104_sres15.html,exists
104,16,A resolution to make minority party appointments to Senate committees under paragraph 2 of Rule XXV for the One Hundred and Fourth Congress.,html,https://www.congress.gov/104/bills/sres16/BILLS-104sres16ats.htm,104_sres16.html,exists
104,20,A resolution making majority party appointments to certain Senate committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres20/BILLS-104sres20ats.htm,104_sres20.html,exists
104,26,A resolution making majority party appointments to the Governmental Affairs Committee for the 104th Congress.,html,https://www.congress.gov/104/bills/sres26/BILLS-104sres26ats.htm,104_sres26.html,exists
104,30,A resolution making majority party appointments to certain Standing Committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres30/BILLS-104sres30ats.htm,104_sres30.html,exists
104,32,A resolution to make minority party appointments to Senate Committees under paragraph 3 (a) and (b) of Rule XXV for the One Hundred Fourth Congress.,html,https://www.congress.gov/104/bills/sres32/BILLS-104sres32ats.htm,104_sres32.html,exists
104,35,A resolution making majority party appointments to the Small Business Committee for the 104th Congress.,html,https://www.congress.gov/104/bills/sres35/BILLS-104sres35ats.htm,104_sres35.html,exists
104,33,A resolution making majority party appointments to Senate committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres33/BILLS-104sres33ats.htm,104_sres33.html,exists
104,42,A resolution to make minority party appointments to a Senate Committee under Paragraph 3(c) of Rule XXV for the One Hundred Fourth Congress.,html,https://www.congress.gov/104/bills/sres42/BILLS-104sres42ats.htm,104_sres42.html,exists
104,46,A resolution making majority party appointments to the Ethics Committee for the 104th Congress.,html,https://www.congress.gov/104/bills/sres46/BILLS-104sres46ats.htm,104_sres46.html,exists
104,57,A resolution making majority party appointments to the Small Business and Aging Committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres57/BILLS-104sres57ats.htm,104_sres57.html,exists
104,94,A resolution making a Majority party appointment.,html,https://www.congress.gov/104/bills/sres94/BILLS-104sres94ats.htm,104_sres94.html,exists
104,93,"A resolution making majority party appointments to the Energy and Natural Resources Committee, the Veterans' Affairs Committee, and the Committee on Indian Affairs.",html,https://www.congress.gov/104/bills/sres93/BILLS-104sres93ats.htm,104_sres93.html,exists
104,95,"A resolution making minority party appointments to the Committee on Energy and Natural Resources, and the Committee on Veterans' Affairs.",html,https://www.congress.gov/104/bills/sres95/BILLS-104sres95ats.htm,104_sres95.html,exists
104,183,A resolution making majority party appointments to certain Senate committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres183/BILLS-104sres183ats.htm,104_sres183.html,exists
104,184,A resolution making majority party appointments to certain Senate committees for the 104th Congress.,html,https://www.congress.gov/104/bills/sres184/BILLS-104sres184ats.htm,104_sres184.html,exists
104,206,A resolution making minority party appointments for the Committee on Veterans Affairs.,html,https://www.congress.gov/104/bills/sres206/BILLS-104sres206ats.htm,104_sres206.html,exists
104,212,"A resolution to constitute the minority party's membership on the Ethics committee for the 104th congress, or until their successors are chosen.",html,https://www.congress.gov/104/bills/sres212/BILLS-104sres212ats.htm,104_sres212.html,exists
104,245,A resolution making Majority party appointments to the Labor and Human Resources Committee.,html,https://www.congress.gov/104/bills/sres245/BILLS-104sres245ats.htm,104_sres245.html,exists
105,11,A resolution making minority party appointments to Senate committees for the 105th Congress.,html,https://www.congress.gov/105/bills/sres11/BILLS-105sres11ats.htm,105_sres11.html,exists
