congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,senator_class,party,party_designation,committee_name,committee_code,resolution_rank,roster_snapshot_rank,position,resolution,resolution_date
112,2011-02-03,False,2013-01-02,,A000069,Daniel K. Akaka,HI,I,D,majority,Committee on Indian Affairs,SLIA00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,A000069,Daniel K. Akaka,HI,I,D,majority,Committee on Armed Services,SSAS00,4,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,A000069,Daniel K. Akaka,HI,I,D,majority,"Committee on Banking, Housing, and Urban Affairs",SSBK00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,A000069,Daniel K. Akaka,HI,I,D,majority,Committee on Homeland Security and Governmental Affairs,SSGA00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,A000069,Daniel K. Akaka,HI,I,D,majority,Committee on Veterans' Affairs,SSVA00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,A000360,Lamar Alexander,TN,II,R,minority,Committee on Appropriations,SSAP00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,A000360,Lamar Alexander,TN,II,R,minority,Committee on Environment and Public Works,SSEV00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,A000360,Lamar Alexander,TN,II,R,minority,"Committee on Health, Education, Labor, and Pensions",SSHR00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,A000360,Lamar Alexander,TN,II,R,minority,Committee on Rules and Administration,SSRA00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,A000368,Kelly Ayotte,NH,III,R,minority,Committee on Armed Services,SSAS00,8,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,A000368,Kelly Ayotte,NH,III,R,minority,"Committee on Commerce, Science, and Transportation",SSCM00,12,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,A000368,Kelly Ayotte,NH,III,R,minority,Committee on Small Business and Entrepreneurship,SSSB00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,B000243,Max Baucus,MT,II,D,majority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000243,Max Baucus,MT,II,D,majority,Committee on Environment and Public Works,SSEV00,2,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000243,Max Baucus,MT,II,D,majority,Committee on Finance,SSFI00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000468,Jeff Bingaman,NM,I,D,majority,Joint Economic Committee,JSEC00,2,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000468,Jeff Bingaman,NM,I,D,majority,Committee on Energy and Natural Resources,SSEG00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000468,Jeff Bingaman,NM,I,D,majority,Committee on Finance,SSFI00,4,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000468,Jeff Bingaman,NM,I,D,majority,"Committee on Health, Education, Labor, and Pensions",SSHR00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,B000575,Roy Blunt,MO,III,R,minority,Select Committee on Intelligence,SLIN00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,B000575,Roy Blunt,MO,III,R,minority,Committee on Appropriations,SSAP00,11,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,B000575,Roy Blunt,MO,III,R,minority,"Committee on Commerce, Science, and Transportation",SSCM00,8,,Member,S.Res.43,2011-02-03
