congress,date,resolution,party_designation,committee,member,rank,role
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Lugar,1,Ranking Member
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Dole,2,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Helms,3,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Cochran,4,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Boschwitz,5,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. McConnell,6,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Bond,7,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Wilson,8,
101,,S.Res.45,minority,"AGRICULTURE, NUTRITION, AND FORESTRY",Mr. Gorton,9,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Hatfield,1,Ranking Member
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Stevens,2,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. McClure,3,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Garn,4,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Cochran,5,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Kasten,6,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. D'Amato,7,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Rudman,8,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Specter,9,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Domenici,10,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Grassley,11,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Nickles,12,
101,,S.Res.45,minority,APPROPRIATIONS,Mr. Gramm,13,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Warner,1,Ranking Member
101,,S.Res.45,minority,ARMED SERVICES,Mr. Thurmond,2,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Cohen,3,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Wilson,4,
101,,S.Res.45,minority,ARMED SERVICES,Mr. McCain,5,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Wallop,6,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Gorton,7,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Lott,8,
101,,S.Res.45,minority,ARMED SERVICES,Mr. Coats,9,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Garn,1,Ranking Member
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Heinz,2,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. D'Amato,3,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Gramm,4,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Bond,5,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Mack,6,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Roth,7,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mrs. Kassebaum,8,
101,,S.Res.45,minority,"BANKING, HOUSING, AND URBAN AFFAIRS",Mr. Pressler,9,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Danforth,1,Ranking Member
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Packwood,2,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Pressler,3,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Stevens,4,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Kasten,5,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. McCain,6,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Burns,7,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Gorton,8,
101,,S.Res.45,minority,"COMMERCE, SCIENCE, AND TRANSPORTATION",Mr. Lott,9,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. McClure,1,Ranking Member
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Hatfield,2,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Domenici,3,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Wallop,4,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Murkowski,5,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Nickles,6,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Burns,7,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. Garn,8,
101,,S.Res.45,minority,ENERGY AND NATURAL RESOURCES,Mr. McConnell,9,
101,,S.Res.45,minority,ENVIRONMENT AND PUBLIC WORKS,Mr. Chafee,1,Ranking Member
